"ID","Arthromyces matolae 10171TJB","Arthromyces matolae 10185TJB","Asterophora lycoperdoides","Asterophora parasitica","Blastosporella zonata","Calocybe carnea","Calocybe cyanea","Calocybe gangraenosa","Hypsizygus ulmarius","Lyophyllum decastes","Lyophyllum semitale","Lyophyllum shimeji","Myochromella boudieri","Sphagnurus paluster","Tephrocybe rancida Trssc25","Tephrocybe rancida Trssc53","Tephrocybe sp1. 10521TJB","Tephrocybe sp2. 9174TJB","Tephrocybe sp3. HNL501043","Tephrocybe sp4. 9980TJB","Tephrocybe sp5. DS06151","Termitomyces bulborhizus","Termitomyces cryptogamus","Termitomyces cryptogamus T132","Termitomyces eurrhizus","Termitomyces fragilis","Termitomyces heimii","Termitomyces microcarpus","Termitomyces reticulatus","Termitomyces robustus","Termitomyces sagittiformis","Termitomyces sp. DKA19","Termitomyces sp. DKA64","Termitomyces sp. JCM13351","Termitomyces sp. K1Ag","Termitomyces sp. MG145","Termitomyces sp. MG16","Termitomyces sp. Mi166","Termitomyces sp. Mx157","Termitomyces sp. Od127","Termitomyces sp. T108a","Termitomyces sp. T27","Termitomyces sp. T70a","Termitomyces striatus","Termitomyces titanicus","Tricholomella constricta"
"AA1","17","16","12","10","16","14","14","12","10","16","32","11","17","20","26","24","19","19","15","12","16"," 9","11"," 8"," 8"," 6"," 9"," 8"," 8"," 9","12"," 9","11","11","13"," 8","10","16"," 9"," 5"," 7","15"," 9","13","11"," 8"
"AA12","0","1","0","0","0","0","0","1","1","1","1","0","3","0","2","0","2","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"AA14","0","0","1","1","1","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1"
"AA2","5","0","0","0","2","0","3","1","1","1","4","3","6","0","3","3","2","4","1","0","0","2","2","2","0","1","1","2","1","1","2","1","3","2","1","1","2","4","2","2","1","2","0","2","2","1"
"AA3","22","23","11"," 6","21"," 7","19","17","25","34","28","25","26","10","57","40","38","28","24","25","28","19","17","13","13"," 8","11","13","16","18","20","16","19","19","23","15","13","30","18","11","13","20","13","19","22","13"
"AA5"," 5"," 6"," 4"," 6"," 8"," 6"," 7"," 6"," 5"," 8"," 8"," 9","12"," 4"," 7"," 7"," 7"," 7"," 5"," 7"," 6"," 5"," 7"," 7"," 4"," 5"," 6"," 5"," 7"," 9"," 7"," 6"," 6"," 6"," 8"," 5"," 7"," 6"," 5"," 4"," 7"," 5"," 7"," 7"," 7"," 6"
"AA6","1","1","3","1","1","1","1","0","0","2","4","2","1","1","2","1","3","1","2","3","2","1","2","2","2","2","2","1","0","1","2","2","2","2","2","2","1","0","2","2","2","2","2","2","2","1"
"AA7","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"AA8","1","1","0","0","1","0","2","2","1","2","2","1","2","3","2","2","1","3","2","1","1","1","1","0","1","0","1","1","1","0","1","2","2","2","1","2","1","2","1","1","0","2","0","1","1","2"
"AA9"," 4"," 5"," 2"," 0"," 2"," 5"," 3"," 3"," 2"," 9"," 5"," 2","11"," 8","12"," 7"," 3"," 7"," 5"," 6"," 3"," 3"," 4"," 2"," 0"," 2"," 2"," 1"," 2"," 2"," 6"," 3"," 4"," 3"," 1"," 5"," 1"," 6"," 4"," 4"," 3"," 6"," 5"," 5"," 5"," 3"
"CBM1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","2","0","1","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"CBM13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CBM20","2","1","3","2","1","1","1","0","1","3","5","2","3","5","2","2","1","1","2","2","4","1","1","1","1","1","2","2","1","1","3","1","2","1","2","1","0","1","2","2","1","3","1","0","2","3"
"CBM21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"CBM42","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CBM5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CBM6","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CBM67","0","0","0","0","0","3","3","3","0","3","3","3","3","9","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"CE1","2","2","0","0","2","1","1","1","1","2","1","1","2","1","3","3","2","2","1","1","1","2","3","3","2","1","1","3","1","3","2","2","2","2","4","2","1","4","2","2","2","4","2","3","2","2"
